TIME;LC_INIT
757.5542;0.0071931547
757.5746;0.0070153344
757.5951;0.0069879754
757.6155;0.0062864693
757.6359;0.005756001
757.6564;0.0056072157
757.6768;0.005291622
757.6972;0.004526597
757.7177;0.0045881323
757.7381;0.004253995
757.7585;0.004138718
757.779;0.0037228442
757.7994;0.0032685008
757.8198;0.0026419812
757.8403;0.0028329943
757.8607;0.0021162792
757.8811;0.0012382861
757.9016;0.0010507879
757.922;0.000593842
757.9424;0.0006091816
757.9629;-0.00020122602
757.9833;-0.00052666065
758.0037;-0.0011387848
758.0242;-0.0012201471
758.0446;-0.0018818014
758.065;-0.0021160648
758.0855;-0.0032596828
758.1059;-0.0032176669
758.1263;-0.0027853467
758.1468;-0.0032045553
758.1672;
758.1876;-0.0033692315
758.2081;-0.0039293044
758.2285;-0.0042413194
758.2489;-0.0044166995
758.2694;-0.004476997
758.2898;-0.004626596
758.3102;-0.0041324645
758.3307;-0.004318092
758.3511;-0.004224838
758.3715;-0.0042321896
758.392;-0.0037844165
758.4124;-0.003987693
758.4328;-0.0033445645
758.4533;-0.003362977
758.4737;-0.0032467877
758.4941;-0.0026298475
758.5146;-0.00268738
758.535;-0.0023845376
758.5554;-0.002604731
758.5759;-0.0023055484
758.5963;-0.0015710858
758.6167;-0.0019043281
758.6372;-0.0021008542
758.6576;-0.0017657237
758.678;-0.0011152753
758.6985;-0.0013266035
758.7189;-0.00084296375
758.7393;-0.00064454955
758.7598;-0.00083034
758.7802;-0.0010876198
758.8006;-0.0007369552
758.8211;-0.0009271375
758.8415;-0.0010471316
758.8619;-0.0012844856
758.8824;-0.00072683516
758.9028;-0.00080689613
758.9232;-0.0010405089
758.9437;-0.0016621486
758.9641;-0.0012741535
758.9845;-0.0016725414
759.005;-0.0025345124
